day,alarm (%H:%M:%S)
2,01:47:06
4,03:53:57
6,03:55:50
9,07:22:35
13,05:26:35
14,09:17:44
15,08:12:35
16,06:47:50
19,10:18:28
21,09:14:60
27,09:00:16
29,11:36:58
30,08:41:22
32,09:53:14
36,10:25:33
39,12:04:38
40,11:47:57
41,10:11:55
44,12:08:28
45,10:59:38
46,11:45:41
48,09:05:59
49,09:56:17
50,12:11:61
60,13:07:36
63,11:53:27
65,14:53:38
68,12:51:35
74,12:47:23
77,14:15:53
78,13:30:20
79,12:37:61
83,12:22:57
84,13:58:15
86,14:14:26
87,13:01:21
92,14:38:41
93,13:46:29
96,12:25:23
99,14:01:08
100,13:45:61
101,12:17:32
103,16:48:17
106,13:24:42
107,13:08:39
108,12:08:09
109,14:27:20
110,13:14:02
111,15:47:31
116,14:33:46
117,14:14:57
121,14:09:14
123,13:43:31
126,14:36:10
127,12:48:28
134,15:19:08
135,15:58:02
137,16:10:32
140,14:49:43
143,14:04:15
146,14:41:09
149,15:54:50
150,15:49:48
151,14:19:52
154,15:28:48
157,15:33:46
159,15:49:15
160,14:32:52
163,14:27:57
165,14:06:51
170,15:36:17
175,15:19:14
176,14:41:37
180,14:09:42
181,14:46:49
182,14:56:29
189,16:55:34
193,15:39:04
194,15:46:37
196,14:30:26
200,15:52:51
203,15:14:60
208,16:23:11
218,17:05:20
219,17:00:55
221,16:07:57
222,15:22:20
223,16:42:60
242,16:43:29
244,16:19:23
245,17:59:06
249,17:47:19
250,17:58:57
257,16:47:05
260,17:05:17
262,15:35:02
263,15:51:13
265,16:33:37
267,15:55:44
268,19:03:41
270,15:41:12
273,17:12:45
274,16:58:02
275,17:25:48
276,17:55:50
280,17:39:39
281,17:36:35
283,16:08:26
284,17:11:37
285,14:15:42
286,16:35:33
287,17:24:27
291,16:57:45
295,17:40:50
297,16:22:31
298,18:20:08
301,16:00:46
306,17:56:32
307,16:05:55
309,18:55:54
310,16:43:26
311,17:58:14
312,16:00:14
314,17:49:49
319,19:57:31
320,17:08:46
321,17:09:34
322,17:25:58
325,16:04:05
327,18:13:48
331,17:57:10
332,18:09:04
333,15:45:04
335,16:39:46
336,19:39:33
342,17:04:58
344,17:19:33
346,16:53:35
347,17:41:22
348,17:09:06
350,17:27:25
354,17:33:31
